author_name,developer_type,is_se_engineer,is_ml_engineer,is_hybrid_engineer,total_commits,projects_contributed,total_files_touched,owned_files,bugs_introduced,bugs_fixed,bug_introducing_ratio,deadcode_items_attribute,deadcode_items_class,deadcode_items_function,deadcode_items_other,deadcode_items_property,deadcode_items_total,deadcode_items_variable,design_smell_broken_hierarchy,design_smell_broken_modularization,design_smell_deep_hierarchy,design_smell_deficient_encapsulation,design_smell_feature_envy,design_smell_hub_like_modularization,design_smell_insufficient_modularization,design_smell_multifaceted_abstraction,design_smell_rebellious_hierarchy,design_smell_wide_hierarchy,fix_commit,impl_smell_complex_conditional,impl_smell_complex_method,impl_smell_empty_catch_clause,impl_smell_long_identifier,impl_smell_long_lambda_function,impl_smell_long_message_chain,impl_smell_long_method,impl_smell_long_parameter_list,impl_smell_long_statement,impl_smell_magic_number,impl_smell_missing_default,mlsmell_broadcasting_feature_not_used,mlsmell_chain_indexing,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_dataframe_conversion_api_misused,mlsmell_deterministic_algorithm_option_not_used,mlsmell_empty_column_misinitialization,mlsmell_gradients_not_cleared,mlsmell_hyperparameters_not_explicitly_set,mlsmell_in_place_apis_misused,mlsmell_matrix_multiplication_api_misused,mlsmell_memory_not_freed,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_nan_equivalence_comparison_misused,mlsmell_pytorch_call_method_misused,mlsmell_tensor_array_not_used,mlsmell_unnecessary_iteration,szz_introducing_commits_count,vuln_bandit_issues_high,vuln_bandit_issues_low,vuln_bandit_issues_medium,vuln_bandit_issues_total,vuln_bandit_test_ids
AWS Neo,SE-engineer,1,0,0,1,['neo ai neo ai dlr'],10.0,"['neo ai neo ai dlr::install/dlr-1.0-py2.py3-armv7l/test-dlr.py', 'neo ai neo ai dlr::install/dlr-1.0-py2.py3-cuda90-aarch64/test-dlr.py', 'neo ai neo ai dlr::install/dlr-1.0-py2.py3-opencl-x86_64/test-dlr.py', 'neo ai neo ai dlr::tests/test_dlc_python_test.py']",0,0,0.0,0,0,0,14,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaditya Paul,SE-engineer,1,0,0,2,['kk7nc RMDL'],2.0,[],0,0,0.0,0,3,8,6,0,21,4,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,6,18,135,138,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abderrahim El Bouziady,SE-engineer,1,0,0,3,['Barqawiz Snnapy2 Filters'],1.0,[],0,0,0.0,0,0,0,6,0,36,30,0,3,0,0,3,0,0,3,0,0,0,0,9,0,0,0,0,3,9,61,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishekmamidi,ML-engineer,0,1,0,87,['Abhishekmamidi123 Time Series Forecasting'],4.0,"['Abhishekmamidi123 Time Series Forecasting::Maharashtra/ARIMA.py', 'Abhishekmamidi123 Time Series Forecasting::Maharashtra/Artificial_Neural_Networks.py', 'Abhishekmamidi123 Time Series Forecasting::Maharashtra_rainy_season_analysis/ARIMA.py', 'Abhishekmamidi123 Time Series Forecasting::Maharashtra_rainy_season_analysis/Artificial_Neural_Networks.py']",12,4,0.13793103448275862,0,0,299,580,0,1099,220,0,0,0,0,0,0,75,0,0,0,4,0,75,0,4,0,0,75,376,1117,1639,0,0,684,599,0,0,0,0,151,149,0,0,0,0,0,0,0,12,0,0,0,0,0
Adit Chawdhary,SE-engineer,1,0,0,2,['JustGlowing minisom'],1.0,[],0,0,0.0,0,2,6,60,0,68,0,0,0,0,6,4,0,6,0,0,0,0,2,4,0,4,0,0,0,2,34,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Tobiszewski,SE-engineer,1,0,0,287,['IntelAI OpenVINO model server'],99.0,"['IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_async_infer_resnet.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_infer_resnet.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_model_metadata.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_model_ready.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_server_live.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_server_metadata.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/grpc_server_ready.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/http_async_infer_resnet.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/http_infer_resnet.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/kfs_grpc_model_metadata.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/kfs_grpc_model_ready.py', 'IntelAI OpenVINO model server::client/python/kserve-api/samples/kfs_grpc_predict_resnet.py', 'IntelAI OpenVINO model server::client/python/ovmsclient/samples/grpc_get_model_metadata.py', 'IntelAI OpenVINO model server::client/python/ovmsclient/samples/grpc_get_model_status.py', 'IntelAI OpenVINO model server::client/python/ovmsclient/samples/grpc_predict_binary_vehicle_detection.py', 'IntelAI OpenVINO model server::demos/age_gender_recognition/python/age_gender_recognition.py', 'IntelAI OpenVINO model server::demos/benchmark/python/client_kfs.py', 'IntelAI OpenVINO model server::demos/benchmark/python/client_tfs.py', 'IntelAI OpenVINO model server::demos/image_classification_using_tf_model/python/image_classification_using_tf_model.py', 'IntelAI OpenVINO model server::demos/segmentation_using_paddlepaddle_model/python/segmentation_using_paddlepaddle_model.py', 'IntelAI OpenVINO model server::demos/speech_recognition_with_kaldi_model/python/rest_stateful_client.py', 'IntelAI OpenVINO model server::example_client/grpc_binary_client.py', 'IntelAI OpenVINO model server::example_client/stateful/rest_stateful_client.py', 'IntelAI OpenVINO model server::src/bindings/python/tests/run.py', 'IntelAI OpenVINO model server::src/bindings/python/tests/test_ovms_py_tensor.py', 'IntelAI OpenVINO model server::src/python/binding/tests/run.py', 'IntelAI OpenVINO model server::src/python/binding/tests/test_ovms_py_tensor.py', 'IntelAI OpenVINO model server::tests/functional/utils/process.py']",1337,111,4.658536585365853,2487,4213,7501,14057,1338,42439,12843,964,4399,0,7533,11,0,921,10038,540,0,111,315,10115,0,39568,456,2371,4078,6157,151808,75613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,0,0
Afreen Kazi,SE-engineer,1,0,0,3,['JdeRobot DetectionSuite'],1.0,[],0,0,0.0,6,3,0,3,0,45,33,0,3,0,0,15,0,0,6,3,0,0,3,27,0,18,3,0,12,21,300,41,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad Albarqawi,SE-engineer,1,0,0,5,['Barqawiz Snnapy2 Filters'],3.0,[],0,0,0.0,0,0,0,10,0,65,55,0,5,0,0,5,0,0,5,0,0,0,0,15,0,0,0,0,5,15,110,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad Barqawi,SE-engineer,1,0,0,38,['Barqawiz Snnapy2 Filters'],18.0,"['Barqawiz Snnapy2 Filters::Demo.py', 'Barqawiz Snnapy2 Filters::Snappy2.py', 'Barqawiz Snnapy2 Filters::controls/Detector.py', 'Barqawiz Snnapy2 Filters::controls/FacePainter.py', 'Barqawiz Snnapy2 Filters::controls/__init__.py', 'Barqawiz Snnapy2 Filters::setup.py', 'Barqawiz Snnapy2 Filters::snappy2/Snappy2.py', 'Barqawiz Snnapy2 Filters::snappy2/__init__.py', 'Barqawiz Snnapy2 Filters::snappy2/controls/Detector.py', 'Barqawiz Snnapy2 Filters::snappy2/controls/FacePainter.py', 'Barqawiz Snnapy2 Filters::snappy2/controls/Generate.py', 'Barqawiz Snnapy2 Filters::snappy2/controls/__init__.py', 'Barqawiz Snnapy2 Filters::snappy2/utils/Constants.py', 'Barqawiz Snnapy2 Filters::snappy2/utils/Utility.py', 'Barqawiz Snnapy2 Filters::snappy2/utils/__init__.py', 'Barqawiz Snnapy2 Filters::utils/Constants.py', 'Barqawiz Snnapy2 Filters::utils/Utility.py', 'Barqawiz Snnapy2 Filters::utils/__init__.py']",9,8,0.23684210526315788,0,2,0,66,0,395,327,0,32,0,0,32,0,0,32,0,0,8,0,96,0,0,0,0,32,92,682,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Ajay Chainani,SE-engineer,1,0,0,2,['phillipi pix2pix'],1.0,[],0,0,0.0,0,0,2,8,0,12,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
